"Key","ChineseName","Description"
"BP_Bullet_BR_Piercing3","蓝图：L-穿甲弹","用于制造L-穿甲弹的蓝图。"
"BP_Bullet_BR_Piercing5","蓝图：L-高级穿甲弹","用于制造L-高级穿甲弹的蓝图。"
"BP_Bullet_BR_Piercing6","蓝图：L-特种穿甲弹","用于制造L-特种穿甲弹的蓝图。"
"BP_Bullet_Candy_Ghost","蓝图：糖豆子弹","用于制造糖豆子弹的蓝图。"
"BP_Bullet_Energy_S","蓝图：小型能量弹药","手工制作小型能量弹药的方法。"
"BP_Bullet_MAG_Normal","蓝图：MAG-普通弹","用于制造：普通反器材弹。"
"BP_Bullet_MAG_Piercing2","蓝图：MAG-穿甲弹","用于制造MAG-穿甲弹的蓝图。"
"BP_Bullet_MAG_Piercing4","蓝图：MAG-高级穿甲弹","用于制造MAG-高级穿甲弹的蓝图。"
"BP_Bullet_MAG_Piercing6","蓝图：MAG-特种穿甲弹","用于制造MAG-特种穿甲弹的蓝图。"
"BP_Bullet_Poop_Normal","蓝图：屎弹","用于制造屎弹的蓝图。"
"BP_Bullet_PWL_L","蓝图：大型能量弹","用于制造大型能量弹的蓝图。"
"BP_Bullet_PWS_S","蓝图：小型能量弹",""
"BP_Bullet_SHT_Break","蓝图：特种霰弹","用于制造特种霰弹的蓝图。"
"BP_Bullet_SHT_Normal","蓝图：普通霰弹","用于制造：普通霰弹。"
"BP_Bullet_SHT_Piercing3","蓝图：穿甲霰弹","用于制造穿甲霰弹的蓝图。"
"BP_Bullet_SHT_Piercing5","蓝图：高级穿甲霰弹","用于制造高级穿甲霰弹的蓝图。"
"BP_Bullet_SMG_Break","蓝图：S-特种弹","用于制造S-特种弹的蓝图。"
"BP_Bullet_SMG_Piercing3","蓝图：S-穿甲弹","用于制造S-穿甲弹的蓝图。"
"BP_Bullet_SMG_Piercing5","蓝图：S-高级穿甲弹","用于制造S-高级穿甲弹的蓝图。"
"BP_Bullet_Snow_Ice","蓝图：雪球子弹","用于在工作台制造雪球子弹的蓝图。"
"BP_Bullet_SNP_Normal","蓝图：普通狙击弹","用于制造：普通狙击弹。"
"BP_Bullet_SNP_Piercing2","蓝图：穿甲狙击弹","用于制造穿甲狙击弹的蓝图。"
"BP_Bullet_SNP_Piercing4","蓝图：高级穿甲狙击弹","用于制造高级穿甲狙击弹的蓝图。"
"BP_Bullet_SNP_Piercing6","特种穿甲狙击弹","用于制造特种穿甲狙击弹的蓝图。"
"BP_CoinBlade","蓝图：铜钱剑","用于制造铜钱剑的蓝图。"
"BP_ColorMonitor","蓝图：彩色显示器","用于在工作台制造彩色显示器的蓝图。"
"BP_ComputingUnit","蓝图：高性能计算单元","用于研发高性能计算单元。"
"BP_CubeGun","蓝图：方块枪","用于研发能量武器：方块枪。"
"BP_Desert","蓝图：沙漠之鹰","用于在工作台研发武器：沙漠之鹰。"
"BP_DTMDR556","蓝图：DT MDR-556","用于在工作台研发武器：DT MDR-556。"
"BP_DTMDR762","蓝图：DT MDR-762","用于在工作台研发武器：DT MDR-762。"
"BP_ElecGrenade","蓝图：电击手雷","用于制造电击手雷的蓝图。"
"BP_FireGrenade","蓝图：燃烧弹","用于制造燃烧弹的蓝图。"
"BP_FishingRod_LV2","蓝图：好钓竿","用于在工作台制造好钓竿的蓝图。"
"BP_FishingRod_LV3","蓝图：厉害钓竿","用于在工作台制造厉害钓竿的蓝图。"
"BP_GasMask","蓝图：防毒面具","制作防毒面具的蓝图。"
"BP_Glick","蓝图：Glick","用于在工作台研发武器：格力克。"
"BP_GPU_Potato","蓝图：土豆显卡","手搓土豆显卡的图纸，上面还画了大便的俯视图，不知是何用意。"
"BP_GPUSLI","显示卡SLI","在工作台解锁显示卡SLI制作的蓝图，方法简单明了，即使没有电子工程知识也能看懂。"
"BP_HAND","蓝图：土制猎枪","用于在工作台研发武器：土制猎枪。"
"BP_Helmat_PumpkinLight","蓝图：南瓜灯","用于在工作台制作南瓜灯的蓝图。"
"BP_HelmatLV1_Snow","蓝图：毛帽","用于在工作台制造毛帽的蓝图。"
"BP_HelmatLV2_Snow","蓝图：二级雪地头盔","用于在工作台制造二级雪地头盔的蓝图。"
"BP_HelmatLV3_Snow","蓝图：三级雪地头盔","用于在工作台制造三级雪地头盔的蓝图。"
"BP_HelmatLV4_Snow","蓝图：四级雪地头盔","用于在工作台制造四级雪地头盔的蓝图。"
"BP_HelmatLV4_SnowBoss","蓝图：抗冻头盔","用于在工作台制造抗冻头盔的蓝图。"
"BP_HelmatLV5","蓝图：SCIFI面罩","用于在工作台制作SCIFI面罩的蓝图。"
"BP_HelmatLV5_1Hear","蓝图：五级轻型头盔","用于在工作台制作五级轻型头盔的蓝图。"
"BP_HelmatLV5_2","蓝图：五级作战头盔","用于在工作台制作五级作战头盔的蓝图。"
"BP_HelmatLV5StormProtection","蓝图：空间防护头盔最终版","用于在工作台制作空间防护头盔最终版的蓝图。"
"BP_HelmatLV6","蓝图：神之电焊头","用于在工作台制作神之电焊头的蓝图。"
"BP_IceBlade","蓝图：寒冰剑","用于在工作台研发武器：寒冰剑。"
"BP_Key_MysteryZ","蓝图：神秘钥匙Z","用于在工作台制造神秘钥匙Z的蓝图。"
"BP_M14","蓝图：M14","用于在工作台研发武器：M14。"
"BP_M1A","蓝图：M1A","用于在工作台研发武器：M1A。"
"BP_M700","蓝图：M700","用于在工作台研发武器：M700。"
"BP_MCXSpear","蓝图：MCX Spear","用于在工作台研发武器：MCX Spear。"
"BP_MF","蓝图：MF","用于在工作台研发武器：MF。"
"BP_MMG","蓝图：MMG","用于在工作台研发武器：MMG。"
"BP_Mosin","蓝图：Mosin-Nagant","用于在工作台研发武器：Mosin-Nagant。"
"BP_MP155","蓝图：MP-155","用于在工作台研发武器：MP-155。"
"BP_MP155M","蓝图：MP-155 ULTIMA","用于在工作台研发武器：MP-155 ULTIMA。"
"BP_MP5","蓝图：MP5","用于在工作台研发武器：MP5。"
"BP_MP7","蓝图：MP7","用于在工作台研发武器：MP7。"
"BP_MP7_Electric","蓝图：带电MP7","用于在工作台研发武器：带电MP7。"
"BP_NightVisionGoggles","蓝图：夜视仪","用于制造夜视仪的蓝图。"
"BP_PM","蓝图：PM","用于在工作台研发武器：PM。"
"BP_PP19Bizon","蓝图：Bizon-2","用于在工作台研发武器：Bizon-2。"
"BP_PPSH","蓝图：PPSh","用于在工作台研发武器：PPSh。"
"BP_RKT_SnowGun_Ice","蓝图：雪球枪","用于在工作台研发武器：雪球枪。"
"BP_RPG","蓝图：RPG发射器","用于在工作台研发武器：RPG。"
"BP_RPK","蓝图：RPK","用于在工作台研发武器：RPK。"
"BP_SHT_Candy_Ghost","蓝图：糖果枪","用于在工作台研发武器：糖果枪。"
"BP_SHT_TOZ106_Ghost","蓝图：灵能枪","用于在工作台研发武器：灵能枪。"
"BP_SHT_TOZ66_Fire","蓝图：TOZ-66龙息","用于在工作台研发武器：TOZ-66龙息。"
"BP_SKS","蓝图：SKS","用于在工作台研发武器：SKS。"
"BP_SMG_SR3M_Ice","蓝图：霜冻SR-3M","用于在工作台研发武器：霜冻SR-3M。"
"BP_Special_AR_AUG_1","蓝图：StG 77半自动模组","用于在工作台制造StG 77半自动模组的蓝图。"
"BP_Special_AR_RPD_1","蓝图：RPD射速模组","用于在工作台制造RPD射速模组的蓝图。"
"BP_Special_ARR_AHBow_1","蓝图：反曲弓齐发模组","用于在工作台制造反曲弓齐发模组的蓝图。"
"BP_Special_BR_M14_1","蓝图：M14全自动模组","用于在工作台制造M14全自动模组的蓝图。"
"BP_Special_BR_SKS_1","蓝图：SKS-45精确模组","用于在工作台制造SKS-45精确模组的蓝图。"
"BP_Special_Energy_CubeGun_1","蓝图：能量枪智能模组","用于在工作台制造能量枪智能模组的蓝图。"
"BP_Special_PST_Glick_1","蓝图：格力克三连发模组","用于在工作台制造格力克三连发模组的蓝图。"
"BP_Special_SHT_Candy_1","蓝图：糖果枪多发模组","用于在工作台制造糖果枪多发模组的蓝图。"
"BP_Special_SMG_ArcadeGun_1","蓝图：玩具枪伤害模组","用于在工作台制造玩具枪伤害模组的蓝图。"
"BP_Special_SMG_PP19Bizon_1","蓝图：Bizon-2霰弹化模组","用于在工作台制造Bizon-2霰弹化模组的蓝图。"
"BP_Special_SNP_Mosin_1","蓝图：Mosin-Nagant两脚架","用于在工作台制造Mosin-Nagant两脚架的蓝图。"
"BP_SR3M","蓝图：SR-3M","用于在工作台研发武器：SR-3M。"
"BP_SV98","蓝图：SV98","用于在工作台研发武器：SV98。"
"BP_ThermalVisionGoggles","蓝图：T-7热成像目镜","用于制造T-7热成像目镜的蓝图。"
"BP_ToxGrenade","蓝图：毒雾弹","用于制造毒雾弹的蓝图。"
"BP_TOZ106","蓝图：TOZ-106","用于在工作台研发武器：TOZ-106。"
"BP_TOZ66","蓝图：TOZ-66","用于在工作台研发武器：TOZ-66。"
"BP_TT33","蓝图：TT-33","用于在工作台研发武器：TT-33。"
"BP_UAK45","蓝图：UAK-45","用于在工作台研发武器：UAK-45。"
"BP_UZI","蓝图：UZI","用于在工作台研发武器：UZI。"
"BP_Vector9","蓝图：Vector","用于在工作台研发武器：Vector。"
"BP_VPO","蓝图：VPO-101","用于在工作台研发武器：VPO-101。"
"BP_VPO136","蓝图：VPO-136","用于在工作台研发武器：VPO-136。"
"BP_VSS","蓝图：VSS","用于在工作台研发武器：VSS。"
"BP_Weapon_0_Basic","武器蓝图：基础","用于研发武器的基础蓝图。"
"BP_Weapon_1_Advanced","武器蓝图：进阶","用于研发武器的进阶蓝图。"
"BP_Weapon_2_Pro","武器蓝图：专业","用于研发武器的专业蓝图。"
"BP_Weapon_3_Ultimate","武器蓝图：终极","用于研发武器的终极蓝图。"
"BPI_CircuitBoard","蓝图：电路板",""
"BR_DTMDR762_Normal","DT MDR-762","还在测试阶段的制式战斗步枪，模块化程度非常高，但不知什么原因，本来可以卸下的枪管和黑色的外壳绑定在了一起。"
"BR_M14_Normal","M14","制式精准战斗步枪，虽然是半自动，但有很高的射速上限。"
"BR_M14_Quest","特制M14","特制的M14，无法带回基地。"
"BR_M1A_Normal","M1A","M14的民用版本，射程远、精度高，但重量也较高。"
"BR_SKS_Normal","SKS-45","结构简单，精度良好的制式步枪。在鸭科夫，威力较大的步枪被称为战斗步枪，即使口径相同也要使用不同的弹药，没人知道理由。"
"BR_Storm_Space","风暴枪","凝结了J-lab对于风暴的几乎所有研究。"
"BR_VSS_Normal","VSS","自带消声器和光学瞄准镜，适合用来偷袭老同志，缺点是射程相对有限。"
"Broom","扫帚","普通的扫帚。"
"Bulb","灯泡","普通的灯泡，看起来还能工作。"
"Bulb2","节能灯","亮起来更加省电，不过看起来质量不太好。"
"BulkSpaceCrystal","大块空间晶体","空间晶体的聚合体，小心一点可以将它拆开。"
"Bullet_AR_Break","AR-碎甲弹","能够大幅消耗护甲耐久的步枪弹，虽然穿甲和伤害能力都很低，但可以快速击碎敌人的护甲，使他失去护甲防护。"
"Bullet_AR_Burn","AR-燃烧弹","装填了可燃成分的步枪弹，造成火伤害。"
"Bullet_AR_Dumdums","AR-肉伤弹","对肉体能造成大量伤害的步枪弹，但没有穿透护甲的能力。"
"Bullet_AR_Electric","AR-感电弹","装填了金属粉末的步枪弹，造成电伤害。"
"Bullet_AR_L_Burn","L-燃烧弹","装填可持续燃烧的弹药，造成灼烧。有概率点燃。"
"Bullet_AR_L_Electric","L-电击弹","集中的瞬间释放电力。"
"Bullet_AR_L_Normal","L-普通弹","制式大口径子弹。"
"Bullet_AR_L_Piercing3","L-穿甲弹","能够穿透一定的防护。"
"Bullet_AR_L_Piercing5","L-高级穿甲弹","能够穿透大多数防护。"
"Bullet_AR_L_Poison","L-涂毒弹","子弹表面涂抹毒药。"
"Bullet_AR_L_Rusted","L-过期子弹","已经过了使用年限，一碰就碎。甚至连纸都打不穿。打这种子弹会较快降低枪械耐久。"
"Bullet_AR_L_Space","L-空间弹","借助地核力量，能够扭曲空间，破坏坚硬的结构。"
"Bullet_AR_Normal","AR-普通弹","标准的制式步枪弹。"
"Bullet_AR_Piercing2","AR-低级穿甲弹","能够穿透低级护甲的防护的步枪弹。"
"Bullet_AR_Piercing3","AR-穿甲弹","能够穿透中级护甲的防护的步枪弹。"
"Bullet_AR_Piercing4","AR-中级穿甲弹","能够穿透中级护甲的防护的步枪弹。"
"Bullet_AR_Piercing5","AR-高级穿甲弹","能够穿透高级护甲的防护的步枪弹。"
"Bullet_AR_Piercing6","AR-特种穿甲弹","能够穿透几乎所有护甲的防护的步枪弹，造成的伤害也更高。"
"Bullet_AR_Poison","AR-毒性弹","装填了毒性成分的步枪弹，造成毒伤害。"
"Bullet_AR_Rusted","AR-生锈弹","已经略微生锈的制式步枪弹，几乎没有穿甲能力，对于枪械的耐久消耗也较高。"
"Bullet_AR_S_Burn","S-燃烧弹","装填可持续燃烧的弹药，造成灼烧。有概率点燃。"
"Bullet_AR_S_Dumdums","S-达姆弹","对肉体造成更高的伤害，但更难以穿透护甲。"
"Bullet_AR_S_Electric","S-电击弹","释放电流的子弹，有时候能麻痹敌人。"
"Bullet_AR_S_Normal","S-普通弹","制式小口径子弹。"
"Bullet_AR_S_Piercing2","S-穿甲弹","能够穿透较低等级的护甲。"
"Bullet_AR_S_Piercing4","S-高级穿甲弹","能够穿透更高等级的护甲。"
"Bullet_AR_S_Poison","S-涂毒弹","子弹表面涂抹毒药。"
"Bullet_AR_S_Rusted","S-生锈子弹","生了锈的小口径子弹。打不穿任何东西。打这种子弹会较快降低枪械耐久。"
"Bullet_AR_S_Space","S-空间弹","借助地核力量，能够扭曲空间，破坏坚硬的结构。"
"Bullet_AR_Space","AR-空间弹","用外星科技制造的步枪弹，造成空间伤害。"
"Bullet_ARR_Explosion","爆炸矢","这玩意没有安全爆炸距离。"
"Bullet_ARR_Normal","木矢","用树枝制作的箭矢。"
"Bullet_ARR_Piercing2","低级穿甲箭","能够穿透低级护甲的防护的箭矢。"
"Bullet_ARR_Piercing4","中级穿甲箭","能够穿透中级护甲的防护的箭矢。"
"Bullet_Arrow_Explosion","爆炸箭","这玩意没有安全爆炸距离。"
"Bullet_Arrow_Normal","木箭矢","用树枝制作的箭矢。"
"Bullet_BR_Break","L-碎甲弹","能够大幅消耗护甲耐久的重型弹，虽然穿甲和伤害能力都很低，但可以快速击碎敌人的护甲，使他失去护甲防护。"
"Bullet_BR_Burn","L-燃烧弹","装填了可燃成分的重型弹，造成火伤害。"
"Bullet_BR_Dumdums","L-肉伤弹","对肉体能造成大量伤害的重型弹，但没有穿透护甲的能力。"
"Bullet_BR_Electric","L-感电弹","装填了金属粉末的重型弹，造成电伤害。"
"Bullet_BR_Normal","L-普通弹","标准的制式重型弹。"
"Bullet_BR_Piercing2","L-低级穿甲弹","能够穿透低级护甲的防护的重型弹。"
"Bullet_BR_Piercing3","L-穿甲弹","能够穿透中级护甲的防护的重型弹。"
"Bullet_BR_Piercing4","L-中级穿甲弹","能够穿透中级护甲的防护的重型弹。"
"Bullet_BR_Piercing5","L-高级穿甲弹","能够穿透高级护甲的防护的重型弹。"
"Bullet_BR_Piercing6","L-特种穿甲弹","能够穿透几乎所有护甲的防护的重型弹，造成的伤害与爆头伤害也更高。"
"Bullet_BR_Poison","L-毒性弹","装填了毒性成分的重型弹，造成毒伤害。"
"Bullet_BR_Rusted","L-生锈弹","已经略微生锈的制式重型弹，几乎没有穿甲能力，对于枪械的耐久消耗也较高。"
