Key,ChineseContent,Category
UI_CustomFace_MouthSize,喙大小,Default
UI_CustomFace_MouthHeight,喙高低,Default
UI_CustomFace_MouthOffset,喙歪了,Default
UI_CustomFace_MouthRotate,喙旋转,Default
UI_CustomFace_TailType,尾类型,Default
UI_CustomFace_TailColor,尾颜色,Default
UI_CustomFace_TailSize,尾大小,Default
Notify_Stucked,从这一侧无法打开。,Default
Notify_Removed,障碍物被移除了,Default
Building_MedicStation_Desc,可以制作一些医疗用品。,Default
Building_MedicStation,医疗站,Default
UI_LootBox_Totem,获得馈赠,Default
Location_GroundZero_CaveEntry,山洞入口,Default
Level_Unfinished,尚未开放,Default
Building_Gem,健身房,Default
Building_Gem_Desc,锻炼肉体和头脑的地方...啊？,Default
UI_LootBox_Explor,资料箱,Default
UI_Sort,整理,Default
Building_TeleportMachine,传送装置,Default
Building_TeleportMachine_Desc,可以让你从更多地方出发。,Default
Location_NorthMountain,北山,Default
Location_GroundZero_RoadCap,公路营地,Default
Notification_ManHoleBlocked,下水井盖似乎被压住了。,Default
UI_Interact_Tomb,遗失物,Default
MapElement_Exit,撤离点,Default
Notify_SpiderSpawn,快天黑了，蜘蛛出来觅食了。,Default
Building_MiningMachine,比特币矿机,Default
Building_MiningMachine_Desc,挖矿，懂得都懂。,Default
Buff_InjectorMaxWeight,负重提升,Default
Buff_InjectorMaxWeight_Desc,提高负重上限,Default
BitcoinMiner_Inventory,提取位（不要在此处存放物品）,Default
Usage_HealValue,治疗生命值,Default
Usage_Durability,消耗,Default
Usage_Energy,能量,Default
Usage_Water,水分,Default
Location_GroundZero_MiddleMountain,矮山,Default
Usage_SpawnEgg_Jinitaimei,？？？,Default
Usage_DeadByChance,有一定概率直接嘎,Default
Usage_DeadByChance_PopText,嗯？,Default
Rule_ExtraHard,极限,Default
Rule_ExtraEasy,搜刮,Default
Rule_ExtraEasy_Desc,适合喜欢专注搜刮体验的玩家游玩，战斗强度最小化。\n敌人对你造成40%伤害。\n敌人血量为40%。\n极低的后坐力。\n敌人反应很慢。\n,Default
Rule_ExtraHard_Desc,想挑战极限？\n敌人对你造成150%的伤害。\n装备丢失后将无法找回。,Default
DifficultySelection_Desc_PlaceHolder,请选择难度,Default
Tips_0,出血了的话，可以使用止血绷带止血。,Default
Tips_1,经常能遇到的物资，不如把它卖了。,Default
Tips_2,枪械耐久低于50%，伤害和散布都会受到影响。,Default
Tips_3,被命中时会产生疼痛效果，消耗耐力并短暂减速。止痛药可以抵消这个影响。,Default
Tips_4,持枪时，按T键，可以更换子弹类型。,Default
Tips_5,在背包界面，将配件拖到武器上即可快速安装，不过要注意是否匹配。,Default
Tips_6,近战敌人闪红光时，就是你翻滚的时机。,Default
Tips_7,手持武器时，你的移动速度会受到影响。,Default
Location_HiddenWarehouse_Warehouse,西厂区,Default
Location_HiddenWarehouse_Center,农舍,Default
Location_HiddenWarehouse_RoadEntry,东路口营地,Default
Cellar,地窖,Default
Building_BlackMarket,黑市联络点,Default
Building_BlackMarket_Desc,连接黑市网络，进行一些有价格浮动的交易。,Default
Location_HiddenWarehouse_Valley,沟壑,Default
Building_DemoTrophy,纪念奖杯,Default
Building_DemoTrophy_Desc,通关纪念。,Default
Endowmment_None,打工鸭,Default
Endowmment_None_Desc,特点是没有特点，非常均衡。,Default
Endowmment_Surviver,生存者,Default
Endowmment_Surviver_Desc,身体强健，抗揍，但腿跟脑子一样不太好使。,Default
Endowmment_Porter,搬运者,Default
Endowmment_Porter_Desc,看似瘦弱，但扛起东西来毫不逊色。,Default
Endowmment_Berserker,狂战士,Default
Endowmment_Berserker_Desc,那肯定得用近战武器，枪是什么？不太会用。,Default
Endowmment_Marksman,枪手,Default
Endowmment_Marksman_Desc,爱打枪，打枪就远远的打。,Default
HBAOSettings_Off,关闭,Default
HBAOSettings_Low,低,Default
HBAOSettings_Normal,中,Default
HBAOSettings_High,高,Default
GrassOptions_Off,关闭,Default
GrassOptions_Low,低,Default
GrassOptions_Normal,中,Default
GrassOptions_High,高,Default
GrassOptions_On,打开,Default
Notification_RedBag,得到了：,Default
RunInputMode_Hold,按住,Default
RunInputMode_Switch,切换,Default
Test,设置版本测试,Default
Indicator_PutAway,收起武器,Default
UI_RequireItem,需要:,Default
Tag_DontDropOnDeadInSlot,绑定装备,Default
Tag_DontDropOnDeadInSlot_Desc,装备在身上时，不会掉落。,Default
UI_Interact_Carry,搬起,Default
Inventory_PlaceHolder,什么也没有...,Default
ItemFilter_All,全部,Default
ItemFilter_Weapon,武器,Default
ItemFilter_Bullet,弹药,Default
ItemFilter_Armor,护甲,Default
ItemFilter_Helmet,头盔,Default
ItemFilter_Backpack,背包,Default
ItemFilter_Totem,图腾,Default
ItemFilter_Medic,药品,Default
ItemFilter_Food,食物,Default
Base_Intro_0,嘿!你终于睡醒了！,Dialogues
Base_Intro_1,刚来基地，有些事情我要先说明一下。,Dialogues
Base_Intro_2,分工的话，我来处理后勤事务，外面的事情就拜托你了。,Dialogues
Base_Intro_3,这里是仓库，你捡回来的东西都可在这存起来。,Dialogues
Base_Intro_4,这里是建造面板，你可以在这里建造设施，或者拆除他们。,Dialogues
Base_Intro_5,这个是售货机，商品种类不多。你如果有不想要的东西，也可以直接卖给它。,Dialogues
Base_Intro_6,这里就是地堡的出口，你得从这里出发。,Dialogues
Base_Intro_7,咱现在没什么家底，所以你要多搞些东西回来。,Dialogues
Base_Intro_8,出门之前，别忘了我这里有任务交给你。,Dialogues
Dialogue_Quest_8_Build1_0,饥饿在塔...,Dialogues
Dialogue_Quest_8_Build1_1,饥饿在鸭科夫是一件非常危险得事。,Dialogues
Dialogue_Quest_8_Build1_2,你要时刻关注你得能量和水分。,Dialogues
Dialogue_Quest_8_Build1_3,你得去看看哪里能找到食物，主要是我也有点饿了。,Dialogues
Prologue_CustomFace_0,哈喽！,Dialogues
Prologue_CustomFace_1,这里是梦！,Dialogues
Prologue_CustomFace_2,还记得自己长什么样子吗？,Dialogues
Prologue_CustomFace_3,来这里！,Dialogues
Prologue_AirWall_0,别乱逛！梦里到处都是空气墙！,Dialogues
Prologue_AirWall_1,小心空气墙！,Dialogues
Prologue_Dream_Door_0,什么玩意。,Dialogues
Prologue_Dream_Door_1,好了！你可以醒了。,Dialogues
Prologue_Dream_Door_2,从这醒过来！,Dialogues
Dialogue_bunkerDoor_Welcome,回来啦,Dialogues
Dialogue_bunkerDoor_Leave,差不多就回来,Dialogues
Base_Intro_9,这个是...你就叫他强化机吧。,Dialogues
Base_Intro_10,只要找到对应的材料，就可以用它加强你的能力。,Dialogues
Base_Intro_11,可能也要付出一点点的代价。,Dialogues
GroundZero_Intro_0,嘿！等一下！,Dialogues
GroundZero_Intro_1,附近就有敌人，对付这些成群的红鸭子，近战武器更好用，如果你已经学会了翻滚的话，就更简单了。,Dialogues
GroundZero_Intro_2,如果要回来的话，从这里就能直接回到地堡。,Dialogues
GroundZero_Intro_3,当然，如果你走得比较远，从这种冒着绿烟的地方也能回来。,Dialogues
GroundZero_Intro_4,这里给你准备了一根木棍，拿着用来防身吧。总比没有好是吧？,Dialogues
GroundZero_Intro_5,行了，快出发吧！,Dialogues
CutScene_MudFirstMeet_0,什么人？,Dialogues
CutScene_MudFirstMeet_1,嗯......,Dialogues
CutScene_MudFirstMeet_2,我看你骨骼惊奇。不如跟我锻体术吧。,Dialogues
CutScene_MudFirstMeet_3,锻体术不只能够强身健体，还能让你更聪明！,Dialogues
CutScene_MudFirstMeet_4,过来！为师要给你第一个考验了！,Dialogues
Dialogue_Quest_36_Health1_0,锻体术，顾名思义，营养最重要！,Dialogues
Dialogue_Quest_36_Health1_1,为师的第一个任务是，找一个鸭蛋回来！,Dialogues
Dialogue_Quest_36_Health1_2,一边深蹲一边找！去吧！,Dialogues
Dialogue_Quest_36_Health1_3,记住，自律使你自由！,Dialogues
Dialogue_Quest_36_Health2_0,咳......,Dialogues
Dialogue_Quest_36_Health2_1,光吃蛋白质果然还是不够啊...,Dialogues
Dialogue_Quest_36_Health2_2,碳水也很重要！,Dialogues
Dialogue_Quest_36_Health2_3,去！给为师找块饼干回来！,Dialogues
Dialogue_Quest_36_Health2_4,用跑的！,Dialogues
Dialogue_Quest_38_Health3_0,不错不错！,Dialogues
Dialogue_Quest_38_Health3_1,但还是感觉少了点啥。,Dialogues
Dialogue_Quest_38_Health3_2,正所谓，饭后一支...咳咳...,Dialogues
Dialogue_Quest_38_Health3_3,去，给为师找一包烟来！这是最后一个考验！,Dialogues
Dialogue_Quest_39_BuildGem_0,很好，你顺利的通过了我的考验。,Dialogues
Dialogue_Quest_39_BuildGem_1,我决定以后就住你家了。,Dialogues
Dialogue_Quest_39_BuildGem_2,等你在住处造好健身房，为师就搬进去。,Dialogues
Base_Intro_Heart7_0,真是一失足成千古恨啊...,Dialogues
Base_Intro_Heart7_1,你的东西，全丢里面了吧？,Dialogues
Base_Intro_Heart7_2,其实，你可以下一次自己去把它们捡回来,Dialogues
Base_Intro_Heart7_3,但时间不等人啊...,Dialogues
Dialogue_Roadsign_Dash,前有恶鸟，空格翻滚。,Dialogues
Dialogue_Niganma,你干嘛~嗨嗨哟~,Dialogues
FirstFarm_0,你竟然真的来了！,Dialogues
FirstFarm_1,这张地图还在建设中！建议你回到零号区游玩。,Dialogues
FirstFarm_2,农场镇这张地图充满了BUG和错误，你会被一些问题卡住不能动弹。,Dialogues
FirstFarm_3,如果非要玩的话，一旦遇到卡住的问题，建议重新进入游戏来解决问题。,Dialogues
FirstFarm_4,总之，感谢你的游玩！,Dialogues
quak_Alert,！,Dialogues
Quak_Suspicion,?,Dialogues
Dialogue_SpawnEgg,呕,Dialogues
Dialogue_Kun_NotRight,你终究不是梦里的他。,Dialogues
Dialogue_Kun_OnlyFace,你竟有三分似他，可你依然不是梦里的他。,Dialogues
Dialogue_Kun_OnlyCloth,空有这身皮，你也不是他。,Dialogues
Dialogue_Kun_AllRight,鸡哥！是你吗！,Dialogues
PopText_Reloading,换弹！,Dialogues
UI_Interact,交互,Interact
UI_Interact_Modify,改装,Interact
UI_Interact_Repair,维修,Interact
UI_Interact_OpenStorage,打开仓库,Interact
UI_Interact_Expansion,扩容,Interact
UI_Interact_Quest,任务,Interact
UI_Interact_Develope,科技研发,Interact
UI_Interact_BPDevelope,蓝图研发,Interact
UI_Interact_Download,下载资料,Interact
UI_Interact_CheckPower,检查电源,Interact
UI_Interact_Go,出发,Interact
UI_Interact_ExitBunker,离开地堡,Interact
UI_Interact_EnterBunker,进入地堡,Interact
UI_Interact_Build,建造,Interact
UI_Interact_Fix,修理,Interact
UI_WeakUp,醒过来,Interact
UI_Interact_RememberFace,我长啥样？,Interact
UI_GoToBed,重新捏脸,Interact
UI_Interact_Remove,移除,Interact
UI_Interact_Handover,交付,Interact
UI_Interact_Cloth,衣服,Interact
UI_Interact_Sacrifice,献上,Interact
UI_Interact_TeleportMachine,传送台,Interact
UI_Interact_FixTeleportMachine,修理传送装置,Interact
UI_Interact_Open,打开,Interact
UI_Interact_Skill,技能强化,Interact
UI_Interact_DeathLottery,失物招抽,Interact
UI_Interact_UnlockFormula,配方录入,Interact
UI_Interact_PhysicalTraining,锻炼身体,Interact
UI_Interact_Read,阅读,Interact
UI_LootBox_Open,打开,Interact
UI_LootBox_CarDoor,车门,Interact
UI_Interact_GoDown,下去,Interact
UI_Interact_GoUp,上去,Interact
UI_Interact_UnlockBlueprint,蓝图研究,Interact
UI_Interact_MiningMachine,矿机,Interact
UI_Interact_BlackMarketDemands,浏览订单,Interact
UI_Interact_BlackMarketSupply,购买黑货,Interact
UI_Interact_Sample,采集样本,Interact
UI_Interact_Hide,放置,Interact
UI_Interact_WishList,添加愿望单,Interact
UI_Interact_Move,移动,Interact
Item_Character,躯壳,Items
Item_Character_Desc,灵魂的载体。,Items
Item_0_MeleeWeapon_Template,切肉刀,Items
Item_0_MeleeWeapon_Template_Desc,看起来很粗犷的刀，不是很锋利。,Items
Item_ArmorLV3,三级防弹衣,Items
Item_ArmorLV3_Desc,三级防弹衣，在某些时候能够保住你的小命。,Items
Item_Gem,金色五角星,Items
Item_Gem_Desc,神秘物质构成的金色五角星。增加近战武器攻击力。,Items
Item_1_Rifle-A_template,GunTemplate,Items
Item_1_Rifle-A_template_Desc,\?,Items
Item_S_MMG_Lv_1,MMG 劣质,Items
Item_S_MMG_Lv_1_Desc,一把普通的微型冲锋枪。,Items
Item_BatteryR6,R6电池,Items
Item_BatteryR6_Desc,在各种用电器中被广泛使用的电池。,Items
Item_Shot_Hand_Lv_1,土制猎枪 劣质,Items
Item_Shot_Hand_Lv_1_Desc,稳定性较差的霰弹枪。,Items
Item_Bandage,止血绷带,Items
Item_Bandage_Desc,"可以止血,并回复微少生命值。",Items
Item_BatteryPP3,PP3电池,Items
Item_BatteryPP3_Desc,通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。,Items
Item_BeanCan,焗豆罐头,Items
Item_BeanCan_Desc,焗豆罐头。,Items
Item_Biscuit,苏打饼干,Items
Item_Biscuit_Desc,一摞苏打饼干。,Items
Item_Cola,可乐,Items
Item_Cola_Desc,有糖的可乐才有灵魂。,Items
Item_FirstAidKit_L,大急救箱,Items
Item_FirstAidKit_L_Desc,可以恢复大量生命值。,Items
Item_FirstAidKit_M,急救箱,Items
Item_FirstAidKit_M_Desc,可以恢复生命值。,Items
Item_FirstAidKit_S,小急救箱,Items
Item_FirstAidKit_S_Desc,可以恢复少量生命值。,Items
Item_TunaCan_1,水浸金枪鱼罐头,Items
Item_TunaCan_1_Desc,水浸金枪鱼罐头。,Items
Item_TunaCan_2,油浸金枪鱼罐头,Items
Item_TunaCan_2_Desc,油浸金枪鱼罐头。,Items
Item_Aspirin,阿司匹林,Items
Item_Aspirin_Desc,小剂量药品，回复血量，并提供镇痛效果。,Items
Item_Bleach,漂白剂,Items
Item_Bleach_Desc,一壶漂白剂。,Items
Item_Cigarette,红条香烟,Items
Item_Cigarette_Desc,一盒普通的香烟。,Items
Item_Dynamite,管状炸弹,Items
Item_Dynamite_Desc,一颗管状炸弹。,Items
Item_DynamiteMultiple,集束管状炸弹,Items
Item_DynamiteMultiple_Desc,一束管状炸弹。,Items
Item_Flashlight,手电,Items
Item_Flashlight_Desc,一只手电筒。,Items
Item_GasMask_01,防毒面具,Items
Item_GasMask_01_Desc,普通的防毒面具。,Items
Item_Goggle,滑雪镜,Items
Item_Goggle_Desc,滑雪眼镜。,Items
Item_Nail,钉子,Items
Item_Nail_Desc,钉子。,Items
Item_Vodka,伏特加,Items
Item_Vodka_Desc,"喝了会开心,然后脱水。",Items
Item_WD40,MD40,Items
Item_WD40_Desc,一瓶MD40除锈剂。,Items
Item_Wrench,扳手,Items
Item_Wrench_Desc,一个扳手。,Items
Item_ArmorLV1,一级防弹衣,Items
Item_ArmorLV1_Desc,比纸还薄，能挡一发水弹枪。,Items
Item_ArmorLV2,二级防弹衣,Items
Item_ArmorLV2_Desc,看起来很专业，能够提供心理层面的鼓励。,Items
Item_ArmorLV4,四级防弹衣,Items
Item_ArmorLV4_Desc,有真正的防弹性能，可靠之选。,Items
Item_ArmorLV5,五级防弹衣,Items
Item_ArmorLV5_Desc,提供终极的防护，子弹打在身上就像洒洒水。,Items
Item_BackpackLV1,装饰包,Items
Item_BackpackLV1_Desc,也就能装点口红化妆品啥的。,Items
Item_BackpackLV2,小学背包,Items
Item_BackpackLV2_Desc,能装很多的作业本。,Items
Item_BackpackLV3,旅行包,Items
Item_BackpackLV3_Desc,多功能用途背包，旅行首选。,Items
Item_BackpackLV4,生存者背包,Items
Item_BackpackLV4_Desc,杀哥联名，户外生存必备。,Items
Item_BackpackLV5,行军背包MAX,Items
Item_BackpackLV5_Desc,使用蓝胖子口袋内衬同款材料，非常能装。,Items
Item_HelmatLV1,摩托头盔,Items
Item_HelmatLV1_Desc,晶莹剔透，吹弹可破。,Items
Item_HelmatLV2,老钢盔,Items
Item_HelmatLV2_Desc,没怎么保养的头盔，爷爷传下来的。里面有个洞。,Items
Item_HelmatLV3,特警头盔,Items
Item_HelmatLV3_Desc,具有初级的防弹性能。,Items
Item_HelmatLV4,SightPRO头盔,Items
Item_HelmatLV4_Desc,具有AR+VR功能，飞过来的子弹可能会眩晕从而打偏。,Items
Item_HelmatLV5,SCIFI面罩,Items
Item_HelmatLV5_Desc,给予头部全方位的防护，科幻造型，非常的拉风。,Items
Item_HelmatLV6,神之电焊头,Items
Item_HelmatLV6_Desc,古希腊掌管头盔的神打造，子弹看了会吓软。,Items
Item_Wrench02,汽车扳手,Items
Item_Wrench02_Desc,更好用的扳手。,Items
Item_ContinerL,大扩容箱,Items
Item_ContinerL_Desc,大型扩容箱，可用作扩展藏身处。重到拿不动。,Items
Item_ContinerM,中扩容箱,Items
Item_ContinerM_Desc,中型扩容箱，可用作扩展藏身处。很重。,Items
Item_ContinerS,小扩容箱,Items
Item_ContinerS_Desc,小型扩容箱，可用作扩展藏身处。,Items
Item_Clock,闹钟,Items
Item_Clock_Desc,定格在了三点钟。,Items
Item_Detergent,洁厕灵,Items
Item_Detergent_Desc,一瓶洁厕灵。,Items
Item_Drum1,红色大桶,Items
Item_Drum1_Desc,一个大空桶。,Items
Item_Drum2,蓝色大桶,Items
Item_Drum2_Desc,一个大空桶。,Items
Item_Drum3,黄色大桶,Items
Item_Drum3_Desc,一个大空桶。,Items
Item_Drum4,金属油桶,Items
Item_Drum4_Desc,一个大空桶，装过汽油。,Items
Item_GolfClub,高尔夫球棒,Items
Item_GolfClub_Desc,打人疼。,Items
Item_Ink,墨水,Items
Item_Ink_Desc,钢笔墨水。,Items
Item_Pot,锅,Items
Item_Pot_Desc,可以用来煮食物。,Items
Item_Tissue,卷纸,Items
Item_Tissue_Desc,一卷卫生纸。,Items
Item_Zippo,Cippo,Items
Item_Zippo_Desc,Cippo打火机。,Items
Item_PressionSencer,压力传感器,Items
Item_PressionSencer_Desc,踩上去就能感应到。,Items
Item_uPhone,uPhone手机,Items
Item_uPhone_Desc,已经坏掉了，从外观上看不出是第几代产品。,Items
Item_Walkie_Talkie,对讲机,Items
Item_Walkie_Talkie_Desc,普通的对讲机。,Items
Item_Walkie_Talkie02,军用对讲机,Items
Item_Walkie_Talkie02_Desc,经过加密的军用对讲机。,Items
Item_FlashGrenade,闪光手雷,Items
Item_FlashGrenade_Desc,眩晕敌人。,Items
Item_Grenade,手雷,Items
Item_Grenade_Desc,手雷。,Items
Item_Chocalate,巧克力,Items
Item_Chocalate_Desc,有人说它能减肥。,Items
Item_EnergyStick,能量棒,Items
Item_EnergyStick_Desc,吃了就不饿了，但是会渴。,Items
Item_Honey,蜂蜜,Items
Item_Honey_Desc,很甜很甜。,Items
Item_Ketchup,番茄酱,Items
Item_Ketchup_Desc,酸酸甜甜的番茄酱。不好吃。,Items
Item_Book,书,Items
Item_Book_Desc,胡扯的书。,Items
Item_Letter,信件,Items
Item_Letter_Desc,一封信件。,Items
Item_AirplaneToy,飞机模型,Items
Item_AirplaneToy_Desc,航空公司售卖的飞机模型，做工劣质。,Items
Item_Ball,足球,Items
Item_Ball_Desc,气不太够的足球。,Items
Item_BicyleToy,自行车模型,Items
Item_BicyleToy_Desc,精致的自行车模型。,Items
Item_Cannon,大炮,Items
Item_Cannon_Desc,玩具大炮。,Items
Item_Compass,指南针,Items
Item_Compass_Desc,精致的指南针。,Items
Item_Dice_2,骰子,Items
Item_Dice_2_Desc,一个外表十分正常的骰子，但是感觉有点偏坠。,Items
Item_Dice,骰子,Items
Item_Dice_Desc,一个正常的骰子。,Items
Item_Fish,玩具鱼,Items
Item_Fish_Desc,浓浓的塑料味。,Items
Item_Watch,怀表,Items
Item_Watch_Desc,银色的怀表。,Items
Item_Egg,鸭蛋,Items
Item_Egg_Desc,没人要的蛋。,Items
Item_Heat,铝热剂,Items
Item_Heat_Desc,非常不易燃。,Items
Item_Propane,丙烷,Items
Item_Propane_Desc,装满丙烷的罐子。,Items
Item_Rope,绳子,Items
Item_Rope_Desc,攀登用的绳子。,Items
Item_Drugs,一堆药,Items
Item_Drugs_Desc,不能吃，里面什么都有。,Items
Item_Lv,输液药品,Items
Item_Lv_Desc,一些静脉注射用的药品。,Items
Item_Broom,扫帚,Items
Item_Broom_Desc,普通的扫帚。,Items
Item_Driver,平头螺丝刀,Items
Item_Driver_Desc,平头螺丝刀。,Items
Item_ElectricSaw,电锯,Items
Item_ElectricSaw_Desc,小巧的电锯。,Items
Item_GasCanL,金属桶,Items
Item_GasCanL_Desc,盛装汽油的金属桶。,Items
Item_GasCanS,塑料桶,Items
Item_GasCanS_Desc,盛装汽油的塑料桶。,Items
Item_HammerL,大锤子,Items
Item_HammerL_Desc,装修利器。,Items
Item_HammerS,锤子,Items
Item_HammerS_Desc,砸钉子好用。,Items
Item_Lantern,煤油灯,Items
Item_Lantern_Desc,没油了。,Items
Item_Shovel,铲子,Items
Item_Shovel_Desc,曾经有一位骑士用它打遍天下无敌手。但不算是一个好的武器。,Items
Item_Telescope,望远镜,Items
Item_Telescope_Desc,坏掉的望远镜，但镜片还是好的。,Items
Item_Trap,捕兽陷阱,Items
Item_Trap_Desc,算是一块好废铁。,Items
Item_Wrench03,撬棍,Items
Item_Wrench03_Desc,挥舞起来可以穿透几乎所有的护甲，在物理学上非常合理。,Items
Item_1_AccessoryTemplate,配件模板,Items
Item_1_AccessoryTemplate_Desc,可增加精确度。,Items
Item_CowMask,奶牛面具,Items
Item_CowMask_Desc,外表十分凶狠的奶牛头面具。,Items
Item_Hat,牛仔帽,Items
Item_Hat_Desc,牛仔帽。,Items
Item_CocoMilk,可可奶,Items
Item_CocoMilk_Desc,带有巧克力味道的牛奶。,Items
Item_Soda,苏打水,Items
Item_Soda_Desc,清爽的苏打水。,Items
Item_Waterbottle,水壶,Items
Item_Waterbottle_Desc,行军水壶，吨吨吨。,Items
Item_Whisky,威士忌,Items
Item_Whisky_Desc,上流，但是脱水。,Items
Item_Pen,钢笔,Items
Item_Pen_Desc,没有墨水的钢笔。,Items
Item_Scissors,剪刀,Items
Item_Scissors_Desc,手工剪刀。,Items
Item_Trophy,奖杯,Items
Item_Trophy_Desc,金色的奖杯，有点掉漆。,Items
Item_Mike,麦克风,Items
Item_Mike_Desc,卡拉OK麦克风，唱歌让人快乐。,Items
Item_Radio,收音机,Items
Item_Radio_Desc,看起来像玩具，但确实也是个收音机。,Items
Item_TOMSUNGPhone,TOMSUNG手机,Items
Item_TOMSUNGPhone_Desc,TOMSUNG手机，看起来很久了。,Items
Item_Yogurt,酸奶,Items
Item_Yogurt_Desc,疯味酸奶。,Items
Item_Newspaper,报纸,Items
Item_Newspaper_Desc,一份报纸，有年头了。,Items
Item_Note,笔记,Items
Item_Note_Desc,上面记着各种让人看不懂的公式。,Items
